Mean,Std,mean,std
,,-0.00071593875,0.01
,,-0.0006993708,0.009988375
,,-0.0006583157,0.009986341
,,-0.0005959708,0.0099757565
,,-0.00050496426,0.009977991
,,-0.00033230404,0.009982236
,,-0.0001700677,0.009982432
,,-3.0549058e-05,0.009986335
,,6.139595e-05,0.009988433
,,0.00010893717,0.009986374
,,0.00014992198,0.009990367
,,0.00018747748,0.009992973
,,0.00019929418,0.0099908905
,,0.00018718987,0.009986633
,,0.00016836784,0.009986238
,,0.00013933741,0.009985219
,,9.746281e-05,0.0099835005
,,5.359631e-05,0.0099857915
,,8.069165e-06,0.009987679
,,-2.8962084e-05,0.0099913925
,,-5.9998594e-05,0.009992927
,,-0.00072903035,0.009986574
,,-0.0010133071,0.00998089
,,-0.0012601843,0.009974814
,,-0.0014686489,0.009968696
,,-0.0016119706,0.009969972
,,-0.0016705852,0.00996252
,,-0.0016814824,0.00998267
,,-0.0016730292,0.009983744
,,-0.0016640514,0.009979719
,,-0.0016523773,0.009974482
,,-0.0016333038,0.009977947
,,-0.0016082104,0.0099755
,,-0.0015840329,0.0099752825
,,-0.0015599809,0.00997371
,,-0.0015384739,0.009971229
,,-0.0015176358,0.009972784
,,-0.0014976185,0.009970939
,,-0.0014790479,0.009970903
,,-0.001461943,0.009970425
,,-0.0014466906,0.009969333
,,-0.0019360248,0.009976716
,,-0.0018977982,0.009988487
,,-0.0018216383,0.009976757
,,-0.0017996622,0.009971751
,,-0.0017705851,0.009976732
,,-0.0017501696,0.009965651
,,-0.0017451567,0.009964746
,,-0.0016804017,0.009970801
,,-0.0015931928,0.009972701
,,-0.0015221525,0.009970854
,,-0.0014694339,0.009967531
,,-0.001428154,0.009968744
,,-0.0013962099,0.009968381
,,-0.0013700768,0.009968417
,,-0.0013488953,0.00996885
,,-0.0013310353,0.009968889
,,-0.0013158005,0.00996886
,,-0.0013024418,0.009968704
,,-0.0012907234,0.009968693
,,-0.001280418,0.009968402
,,-0.001914568,0.009956713
,,-0.0020575046,0.009954541
,,-0.0020294585,0.009954314
,,-0.001978686,0.009940997
,,-0.001962131,0.009933916
,,-0.0019357421,0.009933453
,,-0.0018692607,0.009933699
,,-0.0017966948,0.0099330135
,,-0.0017144071,0.009935874
,,-0.0016186743,0.009934452
,,-0.0015365608,0.009932535
,,-0.0014611359,0.009934797
,,-0.0013977872,0.009933499
,,-0.0013464257,0.009931336
,,-0.0013063224,0.009931519
,,-0.0012747955,0.009930939
,,-0.0012491267,0.0099320635
,,-0.0012276515,0.009932492
,,-0.0012098955,0.009932855
,,-0.0011949983,0.009932528
,,-0.0015819796,0.009951858
,,-0.001219956,0.009979813
,,-0.00082538306,0.009957318
,,-0.0003866561,0.009992416
,,0.00025471422,0.009993015
,,0.00079562207,0.0099944975
,,0.0012555901,0.01000354
,,0.0015868072,0.01001067
,,0.001792318,0.010008886
,,0.0019319567,0.010004602
,,0.0020353405,0.010000036
,,0.0021133847,0.009999806
,,0.0021781963,0.010004426
,,0.0022335653,0.010004918
,,0.002284579,0.010006179
,,0.00232894,0.010004971
,,0.0023686567,0.010002932
,,0.0024022688,0.010001214
,,0.0024305214,0.0100009125
