Mean,Std,mean,std
,,0.0013543171,0.01
,,0.0013614681,0.00999085
,,0.0014042596,0.010006576
,,0.0015622564,0.009998938
,,0.0016938786,0.009986703
,,0.0017874099,0.0099726
,,0.0018619221,0.009963921
,,0.001974127,0.009962116
,,0.002080248,0.009958154
,,0.0021723178,0.009959566
,,0.0022470662,0.009964276
,,0.0022996678,0.0099634435
,,0.0023379165,0.009960211
,,0.00236406,0.00995851
,,0.0023854736,0.009959331
,,0.0024030812,0.009959441
,,0.0024160626,0.00995885
,,0.0024267123,0.009956932
,,0.002436182,0.009955285
,,0.0024445485,0.0099555645
,,0.0024531297,0.009954793
,,0.0022178872,0.009944171
,,0.002285997,0.009936285
,,0.0025108915,0.0099654775
,,0.0028947901,0.009980288
,,0.0033469468,0.009989494
,,0.0036516592,0.009975952
,,0.003842131,0.009972183
,,0.0039728917,0.009971047
,,0.004065855,0.009971498
,,0.004136515,0.009970911
,,0.0041929325,0.009971867
,,0.0042412677,0.009970492
,,0.0042826813,0.0099713
,,0.004320753,0.009971989
,,0.0043538916,0.009974057
,,0.0043827244,0.009968733
,,0.0044073192,0.009964509
,,0.0044310726,0.0099650845
,,0.004452785,0.009963133
,,0.004473575,0.009961605
,,0.0037745729,0.009982629
,,0.0035527728,0.009978811
,,0.0033838507,0.009981597
,,0.003277305,0.009987658
,,0.0031727366,0.01000617
,,0.0031474426,0.010009479
,,0.0031874976,0.0100172255
,,0.0032563335,0.010030274
,,0.0032613024,0.01002156
,,0.0032153707,0.010018835
,,0.0031418323,0.010031523
,,0.003067127,0.010032079
,,0.0030130427,0.010035852
,,0.0029569634,0.010040149
,,0.0029018256,0.010034335
,,0.00284384,0.010029122
,,0.002795678,0.010033498
,,0.0027579728,0.010031974
,,0.00272065,0.010032011
,,0.0026874943,0.010031165
,,0.001916317,0.010035394
,,0.0016376103,0.010021305
,,0.0014833888,0.010017775
,,0.0013442987,0.010003873
,,0.0012908028,0.009999066
,,0.0012505384,0.009989142
,,0.0011957017,0.009982305
,,0.0011204609,0.00996668
,,0.001044215,0.009963933
,,0.0009684094,0.009970512
,,0.00091241393,0.009966269
,,0.0008696127,0.009957451
,,0.0008338676,0.009962304
,,0.0008108155,0.009965009
,,0.00079764996,0.009965012
,,0.0007894499,0.009966774
,,0.0007865522,0.009967132
,,0.0007883399,0.009968862
,,0.0007935497,0.009971234
,,0.00080232276,0.009971252
,,0.00022093048,0.009975697
,,0.00011601094,0.00998695
,,9.9027624e-05,0.009985521
,,2.7315784e-05,0.010001609
,,-4.8042835e-05,0.009992317
,,-5.1611474e-05,0.010000334
,,1.8136761e-05,0.010002676
,,0.0002278599,0.010023625
,,0.0004856248,0.010009147
,,0.0007463181,0.010015577
,,0.0010417312,0.010006698
,,0.0012570469,0.010012895
,,0.0014738829,0.010000205
,,0.0016547942,0.010011484
,,0.0018764564,0.010022895
,,0.0021419835,0.010038199
,,0.002423074,0.010048559
,,0.0026551883,0.010043532
,,0.0028404603,0.010044718
