Mean,Std,mean,std
,,0.0022251685,0.01
,,0.002229283,0.009974904
,,0.0021607939,0.009969124
,,0.0020981655,0.009978351
,,0.0020676656,0.009975308
,,0.0020969333,0.009977053
,,0.0021481013,0.009960795
,,0.0022125326,0.009955956
,,0.0022848542,0.009962817
,,0.0023691843,0.009962594
,,0.002444132,0.009965731
,,0.0025128785,0.009971201
,,0.002568968,0.009970026
,,0.0026164327,0.009969133
,,0.0026576105,0.0099696
,,0.0026927742,0.0099676745
,,0.0027225984,0.009967439
,,0.0027483825,0.009966613
,,0.0027705282,0.009966591
,,0.0027897137,0.00996622
,,0.0028061147,0.009965889
,,0.0024312127,0.009938286
,,0.0023295595,0.009919295
,,0.0023031035,0.009914058
,,0.00237646,0.009914517
,,0.002461348,0.009908667
,,0.0025423435,0.009909252
,,0.0026179787,0.009907937
,,0.002680005,0.009908372
,,0.0027290904,0.00990914
,,0.0027689603,0.009908784
,,0.00280252,0.009908107
,,0.0028308092,0.009908738
,,0.0028553603,0.009908822
,,0.0028768512,0.009908741
,,0.0028961506,0.009908009
,,0.0029126336,0.009907628
,,0.0029276316,0.009907298
,,0.0029413383,0.009907105
,,0.0029532602,0.009906757
,,0.002964416,0.0099067185
,,0.002528612,0.009921916
,,0.0024553076,0.009920972
,,0.0025693362,0.009939162
,,0.0028501204,0.0099299615
,,0.0031327084,0.009928132
,,0.003342002,0.00992475
,,0.003530803,0.009923947
,,0.003670244,0.009922719
,,0.0037652298,0.009919575
,,0.0038306012,0.009920559
,,0.0038806137,0.009920364
,,0.0039190464,0.009919724
,,0.003950558,0.009919435
,,0.003976485,0.009919332
,,0.003998945,0.009919946
,,0.0040184995,0.009919741
,,0.004036021,0.009920367
,,0.004051438,0.009920106
,,0.004065217,0.009920248
,,0.0040777065,0.009920513
,,0.0033524118,0.009900867
,,0.0031345203,0.0098899035
,,0.0030433524,0.009912511
,,0.0030882747,0.009898229
,,0.0031503192,0.009887836
,,0.003226345,0.009897198
,,0.0033176623,0.009901854
,,0.003396423,0.009898039
,,0.0034604482,0.009897573
,,0.0035137436,0.009895739
,,0.003556387,0.009895107
,,0.0035930038,0.009893993
,,0.0036228322,0.009891459
,,0.0036493924,0.009892617
,,0.0036792383,0.009894459
,,0.0037136986,0.009897142
,,0.0037428592,0.009895346
,,0.0037754662,0.009898289
,,0.0038070611,0.009897873
,,0.0038393475,0.009897305
,,0.0033453703,0.009904679
,,0.003371064,0.009882405
,,0.0035421685,0.0098863235
,,0.0037411458,0.009876562
,,0.0039103245,0.009886222
,,0.0040505487,0.009879815
,,0.0041639796,0.009880631
,,0.0042496934,0.009880908
,,0.0043114834,0.009879055
,,0.0043594427,0.009878694
,,0.00439847,0.009878511
,,0.00443058,0.009877603
,,0.0044576577,0.009876571
,,0.004481031,0.0098766005
,,0.0045019067,0.009876225
,,0.0045200996,0.009875081
,,0.0045361323,0.00987518
,,0.0045506256,0.009874995
,,0.004563956,0.009874528
