Mean,Std,mean,std
,,-0.00082267565,0.011000001
,,-0.0008370111,0.01099471
,,-0.0008506509,0.011002664
,,-0.0008634667,0.011040319
,,-0.00087527,0.011055738
,,-0.0008855611,0.011105842
,,-0.00089432154,0.011126262
,,-0.0009022493,0.01116087
,,-0.0009085915,0.0112069845
,,-0.0009142678,0.011223757
,,-0.00091888104,0.011226335
,,-0.0009230965,0.011178561
,,-0.0009254152,0.011218783
,,-0.00092260976,0.011507663
,,-0.0008652844,0.01333458
,,-0.0008123583,0.0115437135
,,-0.0007852648,0.012241947
,,-0.0007350063,0.011849391
,,-0.0006881119,0.012505427
,,-0.00060805207,0.0117730275
,,-0.0005731241,0.012038683
,,-0.0005863504,0.012459807
,,-0.0006080015,0.012240805
,,-0.0006287789,0.012004784
,,-0.00065299356,0.012808428
,,-0.0006834548,0.012373018
,,-0.00070692383,0.012135564
,,-0.00073628203,0.01251031
,,-0.0007704754,0.012414412
,,-0.0007931408,0.0121404575
,,-0.00081025716,0.011742544
,,-0.00082083564,0.011649952
,,-0.0008310789,0.011545576
,,-0.0008402996,0.011564706
,,-0.0008510204,0.01162295
,,-0.00085994275,0.011491471
,,-0.00086816325,0.011563479
,,-0.00087812374,0.011602192
,,-0.0008877144,0.011617803
,,-0.0008969209,0.011586524
,,-0.00090606004,0.011791126
,,-0.00092199724,0.011561505
,,-0.000935188,0.011522685
,,-0.00094893546,0.011531643
,,-0.0009628126,0.011525818
,,-0.0009768326,0.011643201
,,-0.0009931092,0.011709354
,,-0.001009711,0.011776779
,,-0.0010301752,0.01195396
,,-0.0010528262,0.011817935
,,-0.0010704141,0.011940633
,,-0.001098918,0.012108728
,,-0.001136233,0.012133174
,,-0.0011638699,0.011754188
,,-0.0011770121,0.011658561
,,-0.0011906701,0.011755199
,,-0.0012062608,0.011872734
,,-0.0012225874,0.011922899
,,-0.0012416107,0.012126316
,,-0.0012647941,0.012057724
,,-0.001283548,0.012025441
,,-0.0013132277,0.012255645
,,-0.0013467908,0.0119945565
,,-0.0013750318,0.011901922
,,-0.0014017476,0.012019287
,,-0.0014240624,0.011850069
,,-0.0014409536,0.011696584
,,-0.0014543837,0.01154375
,,-0.0014671163,0.011489383
,,-0.0014791366,0.011471808
,,-0.0014926834,0.011594067
,,-0.0015081469,0.011674866
,,-0.0015237704,0.011679151
,,-0.001537093,0.011542856
,,-0.0015498806,0.011481326
,,-0.0015609098,0.011382361
,,-0.0015709692,0.01136925
,,-0.0015808261,0.011339367
,,-0.0015904863,0.011350793
,,-0.001601251,0.011434139
,,-0.0016137763,0.01151817
,,-0.0016246163,0.011646825
,,-0.0016415167,0.011570107
,,-0.0016597733,0.011586636
,,-0.0016771794,0.011465932
,,-0.001690967,0.011467467
,,-0.0017039847,0.011460186
,,-0.0017168227,0.011524945
,,-0.0017317049,0.011565632
,,-0.0017495068,0.011636452
,,-0.0017676041,0.011575323
,,-0.0017841688,0.011498176
,,-0.0018002703,0.01148906
,,-0.0018170049,0.011564217
,,-0.0018349438,0.011574905
,,-0.0018500915,0.011428229
,,-0.0018644423,0.011447928
,,-0.0018786449,0.011595265
,,-0.0018960155,0.011588782
,,-0.0019135061,0.01165589
