Mean,Std,mean,std
,,0.0044453423,0.011000001
,,0.0044323145,0.010941331
,,0.004419617,0.010927156
,,0.0044073383,0.010924824
,,0.004395808,0.010905213
,,0.0043847393,0.01091764
,,0.004374394,0.010903875
,,0.004364641,0.010895397
,,0.0043553505,0.010922215
,,0.0043466506,0.010963809
,,0.004338414,0.010976385
,,0.0043308563,0.010959229
,,0.0043236674,0.010962174
,,0.0043168203,0.01093924
,,0.004310493,0.010934568
,,0.0043045855,0.010932977
,,0.0042990004,0.0109336795
,,0.004293851,0.010931332
,,0.004289366,0.010943986
,,0.004285324,0.010939618
,,0.0042815483,0.010950714
,,0.0042811837,0.010943375
,,0.0042803125,0.010938693
,,0.0042791455,0.010931615
,,0.004278107,0.010939322
,,0.004276922,0.010922697
,,0.0042757555,0.010916372
,,0.0042745387,0.010905369
,,0.004273197,0.010897636
,,0.0042723576,0.010901292
,,0.004271691,0.01092271
,,0.0042713336,0.010951746
,,0.00427126,0.01096651
,,0.0042716283,0.010965757
,,0.004271811,0.010967969
,,0.004272239,0.01097301
,,0.0042729196,0.010944862
,,0.0042732693,0.010930671
,,0.0042737196,0.01092992
,,0.004274207,0.0109522315
,,0.004274826,0.010952112
,,0.0042703813,0.010949696
,,0.004263027,0.0109509975
,,0.0042549684,0.010972612
,,0.0042473157,0.010952413
,,0.0042404174,0.010978031
,,0.00423402,0.010987632
,,0.004227576,0.010967352
,,0.0042214743,0.011024624
,,0.0042158477,0.011010427
,,0.004211145,0.011019208
,,0.0042066206,0.010995731
,,0.004203312,0.01107854
,,0.004200585,0.011025022
,,0.004197963,0.01102852
,,0.004196088,0.011002168
,,0.004193586,0.010975498
,,0.004191889,0.010967889
,,0.0041904333,0.010956899
,,0.0041884794,0.010901463
,,0.004187047,0.010902643
,,0.0041853553,0.010895178
,,0.0041796654,0.010842953
,,0.004173036,0.010885249
,,0.004166977,0.010891453
,,0.0041615316,0.0109350355
,,0.0041567637,0.010926479
,,0.004151098,0.010851074
,,0.0041442676,0.010820113
,,0.004137467,0.010805365
,,0.004131162,0.010816089
,,0.00412545,0.010785663
,,0.0041197813,0.0107739
,,0.0041144113,0.010767934
,,0.004109415,0.010768451
,,0.00410473,0.010775138
,,0.0041004997,0.010778431
,,0.0040967437,0.010798479
,,0.004093368,0.010758318
,,0.004090143,0.010749924
,,0.0040868954,0.010766842
,,0.004088402,0.010764346
,,0.004088267,0.010751461
,,0.004088054,0.010758639
,,0.0040880092,0.010755063
,,0.004087551,0.010766513
,,0.00408709,0.010716972
,,0.0040860954,0.010691345
,,0.0040847207,0.010676835
,,0.004083523,0.010650898
,,0.0040824623,0.010671612
,,0.0040813913,0.010650412
,,0.004080543,0.010669257
,,0.0040800306,0.01065496
,,0.0040797726,0.010662623
,,0.0040796376,0.010670889
,,0.0040798215,0.010666459
,,0.0040801624,0.010629289
,,0.0040806606,0.0106158815
,,0.004081141,0.010574224
