Mean,Std,mean,std
,,-0.0018608213,0.01
,,-0.0019184917,0.009986287
,,-0.0019386314,0.009989104
,,-0.0018972211,0.009984221
,,-0.0018139944,0.009998491
,,-0.0017411222,0.009993801
,,-0.0016529851,0.009985185
,,-0.001488703,0.010000335
,,-0.0013501571,0.009966443
,,-0.0012470064,0.009967341
,,-0.0011703749,0.009966302
,,-0.0011331198,0.009963763
,,-0.0011028256,0.009962911
,,-0.0010864312,0.009961375
,,-0.0010760624,0.009960093
,,-0.0010679038,0.009959382
,,-0.0010638767,0.009958865
,,-0.0010649731,0.009960717
,,-0.0010674883,0.009956127
,,-0.0010741391,0.0099585345
,,-0.0010788387,0.009958832
,,-0.001530654,0.009964339
,,-0.0016646268,0.009963756
,,-0.0016378226,0.009966956
,,-0.0015125361,0.009980254
,,-0.0013775185,0.009975709
,,-0.0012627413,0.0099806115
,,-0.0011905681,0.009972684
,,-0.0011412454,0.009974988
,,-0.0011061564,0.0099726645
,,-0.0010829762,0.009971419
,,-0.0010686354,0.009971048
,,-0.0010579566,0.009968896
,,-0.0010519002,0.0099690305
,,-0.0010493221,0.009969632
,,-0.0010474194,0.009968192
,,-0.0010448662,0.009966349
,,-0.0010436366,0.00996391
,,-0.0010430141,0.0099628
,,-0.0010406114,0.009961185
,,-0.0010387684,0.009961114
,,-0.0016196519,0.009951679
,,-0.0017399437,0.009963816
,,-0.0017334927,0.0099636875
,,-0.0016295168,0.009975728
,,-0.001470247,0.009983728
,,-0.0012942988,0.009983195
,,-0.0011436053,0.009993066
,,-0.0010180938,0.009998484
,,-0.0009206716,0.009996301
,,-0.0008576232,0.009996485
,,-0.0008127449,0.00999813
,,-0.0007769122,0.009999715
,,-0.0007472838,0.010000517
,,-0.0007234145,0.010001814
,,-0.000706187,0.010002071
,,-0.0006900144,0.01000344
,,-0.0006799277,0.0099983765
,,-0.0006707034,0.009995021
,,-0.00066283334,0.009992317
,,-0.0006532677,0.009992003
,,-0.001460043,0.009988163
,,-0.001718035,0.009984558
,,-0.0017986901,0.009989107
,,-0.0018340591,0.009990392
,,-0.0018470453,0.009974814
,,-0.0018468704,0.009970205
,,-0.0017867439,0.009963775
,,-0.0017178353,0.009966126
,,-0.0016617127,0.009966234
,,-0.001613911,0.009958168
,,-0.0015768058,0.00995777
,,-0.0015465326,0.009956738
,,-0.0015213466,0.009956841
,,-0.0015016595,0.009956839
,,-0.001484344,0.009956421
,,-0.0014704646,0.009956872
,,-0.0014585212,0.009957044
,,-0.0014480302,0.009956832
,,-0.0014386728,0.009956835
,,-0.0014302941,0.009956492
,,-0.0018827356,0.009975219
,,-0.0019503916,0.009989858
,,-0.0019006561,0.010001404
,,-0.0017749935,0.009992437
,,-0.0016058994,0.009999058
,,-0.0013991434,0.009997069
,,-0.0012444796,0.009991154
,,-0.0011509242,0.0099833
,,-0.0010863612,0.0099838395
,,-0.0010363071,0.009983792
,,-0.0009956971,0.009982815
,,-0.00096265954,0.009980693
,,-0.0009339709,0.009979444
,,-0.0009083628,0.0099794725
,,-0.0008848886,0.009977166
,,-0.0008624901,0.009976408
,,-0.0008404877,0.009976201
,,-0.0008192232,0.009975952
,,-0.000798484,0.009975866
