Mean,Std,mean,std
,,0.0027387901,0.005
,,0.0027263605,0.004997843
,,0.0027187518,0.0049962127
,,0.0027159571,0.0049952017
,,0.002718125,0.0049979426
,,0.0027251202,0.004996427
,,0.0027360537,0.004996344
,,0.0027509315,0.004994193
,,0.0027694472,0.0049967417
,,0.002791687,0.004995841
,,0.002817347,0.0049963286
,,0.0028462596,0.004996157
,,0.0028779998,0.005000116
,,0.0029125405,0.0050016223
,,0.0029494655,0.0050028055
,,0.002988488,0.005001153
,,0.0030290927,0.00500069
,,0.0030705999,0.0049975296
,,0.00311231,0.0049953195
,,0.003153616,0.004996638
,,0.003194224,0.004996513
,,0.0031578161,0.0049898783
,,0.003120534,0.004991019
,,0.0030944862,0.0049899817
,,0.003076251,0.004990432
,,0.00306403,0.0049883407
,,0.0030568528,0.004988358
,,0.0030543846,0.004986277
,,0.003056149,0.0049826102
,,0.0030617737,0.0049865763
,,0.0030712946,0.004986032
,,0.0030838796,0.004981001
,,0.003099621,0.004976975
,,0.003118094,0.004980755
,,0.00313899,0.0049802437
,,0.0031620138,0.004979429
,,0.0031866312,0.004979511
,,0.0032126699,0.0049808784
,,0.0032391418,0.0049788156
,,0.0032660302,0.0049757767
,,0.0032930865,0.004976348
,,0.0032280914,0.0049772095
,,0.0031685121,0.00497415
,,0.0031240713,0.0049720006
,,0.0030889348,0.0049697096
,,0.0030606077,0.004967664
,,0.0030378138,0.0049683703
,,0.0030197976,0.0049722837
,,0.0030055786,0.0049702846
,,0.0029954603,0.004974458
,,0.002988893,0.0049819383
,,0.0029858672,0.0049828803
,,0.0029855683,0.0049803527
,,0.0029880204,0.004975661
,,0.00299345,0.0049800733
,,0.003001703,0.0049826326
,,0.0030121885,0.004984002
,,0.0030251204,0.0049770474
,,0.0030398876,0.0049742693
,,0.0030565583,0.0049814368
,,0.0030747424,0.0049830307
,,0.0030359211,0.004986137
,,0.0029955958,0.0049880887
,,0.002964306,0.0049856873
,,0.002938917,0.0049850354
,,0.0029176238,0.0049811536
,,0.0029000759,0.0049840524
,,0.002885422,0.00498129
,,0.0028732435,0.0049778707
,,0.0028633913,0.0049742246
,,0.0028560408,0.004974463
,,0.0028509449,0.004976527
,,0.0028482385,0.004976398
,,0.0028475476,0.004974407
,,0.0028490243,0.004971654
,,0.0028526487,0.0049711936
,,0.00285863,0.0049704565
,,0.002866763,0.0049728197
,,0.002877645,0.0049744137
,,0.002890776,0.004972503
,,0.0029063015,0.0049804254
,,0.0028582003,0.004978118
,,0.002809959,0.0049767094
,,0.002772017,0.0049751746
,,0.0027411284,0.004982466
,,0.002715602,0.004980969
,,0.0026941088,0.004979136
,,0.0026759258,0.0049841832
,,0.0026611658,0.0049889763
,,0.002648815,0.004990122
,,0.0026388029,0.004988131
,,0.002631071,0.0049872906
,,0.0026251504,0.004990082
,,0.0026220686,0.0049847793
,,0.0026209462,0.0049808174
,,0.002622059,0.004983955
,,0.0026254957,0.004983308
,,0.0026311995,0.004978434
,,0.0026393333,0.0049711927
,,0.0026498693,0.0049725412
