training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3275,0,0,0
0,1,0.5739,0,0,0
0,2,0.6771,0,0,0
0,3,0.7399,0,0,0
0,4,0.7775,0,0,0
0,5,0.8017,0,0,0
0,6,0.8197,0,0,0
0,7,0.8331,0,0,0
0,8,0.8432,0,0,0
0,9,0.8504,0,0,0
0,10,0.8603,0,0,0
0,11,0.8646,0,0,0
0,12,0.8715,0,0,0
0,13,0.8753,0,0,0
0,14,0.8774,0,0,0
0,15,0.8815,0,0,0
0,16,0.8867,0,0,0
0,17,0.8884,0,0,0
0,18,0.8913,0,0,0
0,19,0.8933,0,0,0
0,20,0.8954,0,0,0
0,21,0.8964,0,0,0
0,22,0.9006,0,0,0
0,23,0.9023,0,0,0
0,24,0.9038,0,0,0
0,25,0.9031,0,0,0
0,26,0.9070,0,0,0
0,27,0.9090,0,0,0
0,28,0.9092,0,0,0
0,29,0.9111,0,0,0
1,0,0.6770,0,0,0
1,1,0.8217,0,0,0
1,2,0.8532,0,0,0
1,3,0.8652,0,0,0
1,4,0.8756,0,0,0
1,5,0.8812,0,0,0
1,6,0.8875,0,0,0
1,7,0.8920,0,0,0
1,8,0.8954,0,0,0
1,9,0.8980,0,0,0
1,10,0.9004,0,0,0
1,11,0.9032,0,0,0
1,12,0.9059,0,0,0
1,13,0.9077,0,0,0
1,14,0.9094,0,0,0
1,15,0.9104,0,0,0
1,16,0.9129,0,0,0
1,17,0.9132,0,0,0
1,18,0.9162,0,0,0
1,19,0.9162,0,0,0
1,20,0.9186,0,0,0
1,21,0.9192,0,0,0
1,22,0.9201,0,0,0
1,23,0.9211,0,0,0
1,24,0.9225,0,0,0
1,25,0.9237,0,0,0
1,26,0.9243,0,0,0
1,27,0.9246,0,0,0
1,28,0.9241,0,0,0
1,29,0.9269,0,0,0
2,0,0.7113,0,0,0
2,1,0.8336,0,0,0
2,2,0.8586,0,0,0
2,3,0.8740,0,0,0
2,4,0.8823,0,0,0
2,5,0.8890,0,0,0
2,6,0.8951,0,0,0
2,7,0.8979,0,0,0
2,8,0.9014,0,0,0
2,9,0.9040,0,0,0
2,10,0.9071,0,0,0
2,11,0.9078,0,0,0
2,12,0.9111,0,0,0
2,13,0.9136,0,0,0
2,14,0.9126,0,0,0
2,15,0.9148,0,0,0
2,16,0.9173,0,0,0
2,17,0.9184,0,0,0
2,18,0.9204,0,0,0
2,19,0.9228,0,0,0
2,20,0.9223,0,0,0
2,21,0.9245,0,0,0
2,22,0.9237,0,0,0
2,23,0.9256,0,0,0
2,24,0.9257,0,0,0
2,25,0.9272,0,0,0
2,26,0.9275,0,0,0
2,27,0.9279,0,0,0
2,28,0.9286,0,0,0
2,29,0.9295,0,0,0
3,0,0.7097,0,0,0
3,1,0.8383,0,0,0
3,2,0.8657,0,0,0
3,3,0.8798,0,0,0
3,4,0.8888,0,0,0
3,5,0.8956,0,0,0
3,6,0.9002,0,0,0
3,7,0.9047,0,0,0
3,8,0.9091,0,0,0
3,9,0.9083,0,0,0
3,10,0.9143,0,0,0
3,11,0.9146,0,0,0
3,12,0.9167,0,0,0
3,13,0.9183,0,0,0
3,14,0.9191,0,0,0
3,15,0.9220,0,0,0
3,16,0.9224,0,0,0
3,17,0.9230,0,0,0
3,18,0.9268,0,0,0
3,19,0.9262,0,0,0
3,20,0.9262,0,0,0
3,21,0.9281,0,0,0
3,22,0.9298,0,0,0
3,23,0.9299,0,0,0
3,24,0.9311,0,0,0
3,25,0.9316,0,0,0
3,26,0.9314,0,0,0
3,27,0.9316,0,0,0
3,28,0.9329,0,0,0
3,29,0.9348,0,0,0
4,0,0.7142,0,0,0
4,1,0.8393,0,0,0
4,2,0.8654,0,0,0
4,3,0.8803,0,0,0
4,4,0.8869,0,0,0
4,5,0.8939,0,0,0
4,6,0.8969,0,0,0
4,7,0.9018,0,0,0
4,8,0.9070,0,0,0
4,9,0.9099,0,0,0
4,10,0.9127,0,0,0
4,11,0.9145,0,0,0
4,12,0.9158,0,0,0
4,13,0.9173,0,0,0
4,14,0.9197,0,0,0
4,15,0.9207,0,0,0
4,16,0.9232,0,0,0
4,17,0.9227,0,0,0
4,18,0.9261,0,0,0
4,19,0.9227,0,0,0
4,20,0.9266,0,0,0
4,21,0.9274,0,0,0
