training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3022,0,0,0
0,1,0.5904,0,0,0
0,2,0.6911,0,0,0
0,3,0.7389,0,0,0
0,4,0.7726,0,0,0
0,5,0.7911,0,0,0
0,6,0.8083,0,0,0
0,7,0.8179,0,0,0
0,8,0.8260,0,0,0
0,9,0.8373,0,0,0
0,10,0.8433,0,0,0
0,11,0.8471,0,0,0
0,12,0.8546,0,0,0
0,13,0.8574,0,0,0
0,14,0.8621,0,0,0
0,15,0.8654,0,0,0
0,16,0.8679,0,0,0
0,17,0.8696,0,0,0
0,18,0.8734,0,0,0
0,19,0.8766,0,0,0
0,20,0.8781,0,0,0
0,21,0.8821,0,0,0
0,22,0.8817,0,0,0
0,23,0.8841,0,0,0
0,24,0.8880,0,0,0
0,25,0.8875,0,0,0
0,26,0.8880,0,0,0
0,27,0.8921,0,0,0
0,28,0.8921,0,0,0
0,29,0.8949,0,0,0
1,0,0.5506,0,0,0
1,1,0.7475,0,0,0
1,2,0.7900,0,0,0
1,3,0.8145,0,0,0
1,4,0.8304,0,0,0
1,5,0.8391,0,0,0
1,6,0.8480,0,0,0
1,7,0.8552,0,0,0
1,8,0.8581,0,0,0
1,9,0.8637,0,0,0
1,10,0.8675,0,0,0
1,11,0.8730,0,0,0
1,12,0.8736,0,0,0
1,13,0.8771,0,0,0
1,14,0.8794,0,0,0
1,15,0.8821,0,0,0
1,16,0.8836,0,0,0
1,17,0.8871,0,0,0
1,18,0.8874,0,0,0
1,19,0.8894,0,0,0
1,20,0.8914,0,0,0
1,21,0.8944,0,0,0
1,22,0.8951,0,0,0
1,23,0.8966,0,0,0
1,24,0.8960,0,0,0
1,25,0.8979,0,0,0
1,26,0.8985,0,0,0
1,27,0.9010,0,0,0
1,28,0.9013,0,0,0
1,29,0.9017,0,0,0
2,0,0.5591,0,0,0
2,1,0.7530,0,0,0
2,2,0.7980,0,0,0
2,3,0.8222,0,0,0
2,4,0.8377,0,0,0
2,5,0.8479,0,0,0
2,6,0.8542,0,0,0
2,7,0.8622,0,0,0
2,8,0.8634,0,0,0
2,9,0.8713,0,0,0
2,10,0.8740,0,0,0
2,11,0.8763,0,0,0
2,12,0.8791,0,0,0
2,13,0.8818,0,0,0
2,14,0.8839,0,0,0
2,15,0.8860,0,0,0
2,16,0.8886,0,0,0
2,17,0.8900,0,0,0
2,18,0.8932,0,0,0
2,19,0.8950,0,0,0
2,20,0.8951,0,0,0
2,21,0.8961,0,0,0
2,22,0.8982,0,0,0
2,23,0.9010,0,0,0
2,24,0.8999,0,0,0
2,25,0.9007,0,0,0
2,26,0.9011,0,0,0
2,27,0.9035,0,0,0
2,28,0.9044,0,0,0
2,29,0.9055,0,0,0
3,0,0.5316,0,0,0
3,1,0.7415,0,0,0
3,2,0.7897,0,0,0
3,3,0.8143,0,0,0
3,4,0.8308,0,0,0
3,5,0.8433,0,0,0
3,6,0.8501,0,0,0
3,7,0.8569,0,0,0
3,8,0.8622,0,0,0
3,9,0.8671,0,0,0
3,10,0.8704,0,0,0
3,11,0.8741,0,0,0
3,12,0.8761,0,0,0
3,13,0.8779,0,0,0
3,14,0.8820,0,0,0
3,15,0.8822,0,0,0
3,16,0.8856,0,0,0
3,17,0.8875,0,0,0
3,18,0.8889,0,0,0
3,19,0.8901,0,0,0
3,20,0.8925,0,0,0
3,21,0.8942,0,0,0
3,22,0.8948,0,0,0
3,23,0.8961,0,0,0
3,24,0.8968,0,0,0
3,25,0.8993,0,0,0
3,26,0.9004,0,0,0
3,27,0.9007,0,0,0
3,28,0.9013,0,0,0
3,29,0.9028,0,0,0
4,0,0.4902,0,0,0
4,1,0.7261,0,0,0
4,2,0.7804,0,0,0
4,3,0.8087,0,0,0
4,4,0.8240,0,0,0
4,5,0.8362,0,0,0
4,6,0.8457,0,0,0
4,7,0.8528,0,0,0
4,8,0.8569,0,0,0
4,9,0.8618,0,0,0
4,10,0.8685,0,0,0
4,11,0.8712,0,0,0
4,12,0.8752,0,0,0
4,13,0.8772,0,0,0
4,14,0.8786,0,0,0
4,15,0.8802,0,0,0
4,16,0.8830,0,0,0
4,17,0.8877,0,0,0
4,18,0.8859,0,0,0
4,19,0.8888,0,0,0
4,20,0.8904,0,0,0
4,21,0.8921,0,0,0
4,22,0.8938,0,0,0
4,23,0.8965,0,0,0
4,24,0.8974,0,0,0
4,25,0.8995,0,0,0
4,26,0.8989,0,0,0
4,27,0.9006,0,0,0
4,28,0.9014,0,0,0
4,29,0.9036,0,0,0
5,0,0.4974,0,0,0
5,1,0.7329,0,0,0
5,2,0.7837,0,0,0
5,3,0.8120,0,0,0
5,4,0.8263,0,0,0
5,5,0.8405,0,0,0
5,6,0.8477,0,0,0
5,7,0.8537,0,0,0
5,8,0.8622,0,0,0
5,9,0.8643,0,0,0
5,10,0.8706,0,0,0
5,11,0.8728,0,0,0
5,12,0.8754,0,0,0
5,13,0.8799,0,0,0
5,14,0.8805,0,0,0
5,15,0.8821,0,0,0
5,16,0.8855,0,0,0
5,17,0.8877,0,0,0
5,18,0.8912,0,0,0
5,19,0.8927,0,0,0
5,20,0.8934,0,0,0
5,21,0.8938,0,0,0
