training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
6,4,0.8260,0,0,0
6,5,0.8387,0,0,0
6,6,0.8503,0,0,0
6,7,0.8576,0,0,0
6,8,0.8626,0,0,0
6,9,0.8655,0,0,0
6,10,0.8716,0,0,0
6,11,0.8750,0,0,0
6,12,0.8775,0,0,0
6,13,0.8808,0,0,0
6,14,0.8831,0,0,0
6,15,0.8865,0,0,0
6,16,0.8886,0,0,0
6,17,0.8911,0,0,0
6,18,0.8908,0,0,0
6,19,0.8938,0,0,0
6,20,0.8961,0,0,0
6,21,0.8963,0,0,0
6,22,0.8964,0,0,0
6,23,0.8993,0,0,0
6,24,0.9003,0,0,0
6,25,0.9007,0,0,0
6,26,0.9018,0,0,0
6,27,0.9034,0,0,0
6,28,0.9030,0,0,0
6,29,0.9046,0,0,0
7,0,0.4775,0,0,0
7,1,0.7108,0,0,0
7,2,0.7732,0,0,0
7,3,0.8043,0,0,0
7,4,0.8231,0,0,0
7,5,0.8350,0,0,0
7,6,0.8478,0,0,0
7,7,0.8523,0,0,0
7,8,0.8588,0,0,0
7,9,0.8629,0,0,0
7,10,0.8700,0,0,0
7,11,0.8738,0,0,0
7,12,0.8748,0,0,0
7,13,0.8802,0,0,0
7,14,0.8791,0,0,0
7,15,0.8830,0,0,0
7,16,0.8867,0,0,0
7,17,0.8874,0,0,0
7,18,0.8901,0,0,0
7,19,0.8912,0,0,0
7,20,0.8922,0,0,0
7,21,0.8953,0,0,0
7,22,0.8956,0,0,0
7,23,0.8959,0,0,0
7,24,0.8972,0,0,0
7,25,0.8982,0,0,0
7,26,0.8994,0,0,0
7,27,0.9010,0,0,0
7,28,0.9017,0,0,0
7,29,0.9030,0,0,0
8,0,0.4548,0,0,0
8,1,0.6936,0,0,0
8,2,0.7572,0,0,0
8,3,0.7905,0,0,0
8,4,0.8121,0,0,0
8,5,0.8244,0,0,0
8,6,0.8377,0,0,0
8,7,0.8451,0,0,0
8,8,0.8498,0,0,0
8,9,0.8562,0,0,0
8,10,0.8614,0,0,0
8,11,0.8654,0,0,0
8,12,0.8677,0,0,0
8,13,0.8713,0,0,0
8,14,0.8741,0,0,0
8,15,0.8788,0,0,0
8,16,0.8807,0,0,0
8,17,0.8816,0,0,0
8,18,0.8823,0,0,0
8,19,0.8867,0,0,0
8,20,0.8864,0,0,0
8,21,0.8888,0,0,0
8,22,0.8910,0,0,0
8,23,0.8922,0,0,0
8,24,0.8936,0,0,0
8,25,0.8942,0,0,0
8,26,0.8979,0,0,0
8,27,0.8989,0,0,0
8,28,0.9003,0,0,0
8,29,0.9009,0,0,0
9,0,0.4455,0,0,0
9,1,0.6801,0,0,0
9,2,0.7531,0,0,0
9,3,0.7877,0,0,0
9,4,0.8086,0,0,0
9,5,0.8259,0,0,0
9,6,0.8364,0,0,0
9,7,0.8439,0,0,0
9,8,0.8499,0,0,0
9,9,0.8581,0,0,0
9,10,0.8626,0,0,0
9,11,0.8660,0,0,0
9,12,0.8699,0,0,0
9,13,0.8731,0,0,0
9,14,0.8767,0,0,0
9,15,0.8788,0,0,0
9,16,0.8807,0,0,0
9,17,0.8837,0,0,0
9,18,0.8837,0,0,0
9,19,0.8862,0,0,0
9,20,0.8894,0,0,0
9,21,0.8906,0,0,0
9,22,0.8931,0,0,0
9,23,0.8929,0,0,0
9,24,0.8951,0,0,0
9,25,0.8952,0,0,0
9,26,0.8979,0,0,0
9,27,0.8967,0,0,0
9,28,0.8987,0,0,0
9,29,0.8993,0,0,0
