training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3224,0,0,0
0,1,0.5946,0,0,0
0,2,0.7065,0,0,0
0,3,0.7592,0,0,0
0,4,0.7938,0,0,0
0,5,0.8131,0,0,0
0,6,0.8275,0,0,0
0,7,0.8402,0,0,0
0,8,0.8500,0,0,0
0,9,0.8562,0,0,0
0,10,0.8610,0,0,0
0,11,0.8676,0,0,0
0,12,0.8736,0,0,0
0,13,0.8751,0,0,0
0,14,0.8798,0,0,0
0,15,0.8822,0,0,0
0,16,0.8854,0,0,0
0,17,0.8884,0,0,0
0,18,0.8926,0,0,0
0,19,0.8933,0,0,0
0,20,0.8957,0,0,0
0,21,0.8989,0,0,0
0,22,0.9009,0,0,0
0,23,0.9025,0,0,0
0,24,0.9039,0,0,0
0,25,0.9039,0,0,0
0,26,0.9073,0,0,0
0,27,0.9084,0,0,0
0,28,0.9088,0,0,0
0,29,0.9116,0,0,0
1,0,0.6861,0,0,0
1,1,0.8196,0,0,0
1,2,0.8477,0,0,0
1,3,0.8622,0,0,0
1,4,0.8707,0,0,0
1,5,0.8805,0,0,0
1,6,0.8877,0,0,0
1,7,0.8892,0,0,0
1,8,0.8932,0,0,0
1,9,0.8978,0,0,0
1,10,0.9000,0,0,0
1,11,0.9024,0,0,0
1,12,0.9036,0,0,0
1,13,0.9058,0,0,0
1,14,0.9098,0,0,0
1,15,0.9111,0,0,0
1,16,0.9145,0,0,0
1,17,0.9139,0,0,0
1,18,0.9155,0,0,0
1,19,0.9164,0,0,0
1,20,0.9172,0,0,0
1,21,0.9196,0,0,0
1,22,0.9199,0,0,0
1,23,0.9193,0,0,0
1,24,0.9212,0,0,0
1,25,0.9226,0,0,0
1,26,0.9226,0,0,0
1,27,0.9240,0,0,0
1,28,0.9250,0,0,0
1,29,0.9269,0,0,0
2,0,0.7145,0,0,0
2,1,0.8358,0,0,0
2,2,0.8604,0,0,0
2,3,0.8741,0,0,0
2,4,0.8836,0,0,0
2,5,0.8893,0,0,0
2,6,0.8947,0,0,0
2,7,0.8983,0,0,0
2,8,0.9004,0,0,0
2,9,0.9047,0,0,0
2,10,0.9071,0,0,0
2,11,0.9095,0,0,0
2,12,0.9113,0,0,0
2,13,0.9161,0,0,0
2,14,0.9142,0,0,0
2,15,0.9169,0,0,0
2,16,0.9184,0,0,0
2,17,0.9198,0,0,0
2,18,0.9202,0,0,0
2,19,0.9219,0,0,0
2,20,0.9203,0,0,0
2,21,0.9234,0,0,0
2,22,0.9247,0,0,0
2,23,0.9267,0,0,0
2,24,0.9258,0,0,0
2,25,0.9255,0,0,0
2,26,0.9274,0,0,0
2,27,0.9282,0,0,0
2,28,0.9299,0,0,0
2,29,0.9299,0,0,0
3,0,0.7126,0,0,0
3,1,0.8396,0,0,0
3,2,0.8637,0,0,0
3,3,0.8797,0,0,0
3,4,0.8865,0,0,0
3,5,0.8928,0,0,0
3,6,0.8988,0,0,0
3,7,0.9016,0,0,0
3,8,0.9046,0,0,0
3,9,0.9074,0,0,0
3,10,0.9111,0,0,0
3,11,0.9129,0,0,0
3,12,0.9157,0,0,0
3,13,0.9164,0,0,0
3,14,0.9192,0,0,0
3,15,0.9206,0,0,0
3,16,0.9220,0,0,0
3,17,0.9233,0,0,0
3,18,0.9234,0,0,0
3,19,0.9232,0,0,0
3,20,0.9267,0,0,0
3,21,0.9279,0,0,0
3,22,0.9292,0,0,0
3,23,0.9279,0,0,0
3,24,0.9305,0,0,0
3,25,0.9306,0,0,0
3,26,0.9309,0,0,0
3,27,0.9323,0,0,0
3,28,0.9325,0,0,0
3,29,0.9329,0,0,0
4,0,0.7079,0,0,0
4,1,0.8348,0,0,0
4,2,0.8607,0,0,0
4,3,0.8757,0,0,0
4,4,0.8839,0,0,0
4,5,0.8921,0,0,0
4,6,0.8961,0,0,0
4,7,0.9003,0,0,0
4,8,0.9029,0,0,0
4,9,0.9062,0,0,0
4,10,0.9073,0,0,0
4,11,0.9112,0,0,0
4,12,0.9113,0,0,0
4,13,0.9154,0,0,0
4,14,0.9179,0,0,0
4,15,0.9180,0,0,0
4,16,0.9184,0,0,0
4,17,0.9207,0,0,0
4,18,0.9221,0,0,0
4,19,0.9228,0,0,0
4,20,0.9243,0,0,0
4,21,0.9250,0,0,0
4,22,0.9278,0,0,0
4,23,0.9261,0,0,0
4,24,0.9276,0,0,0
4,25,0.9296,0,0,0
4,26,0.9283,0,0,0
4,27,0.9289,0,0,0
4,28,0.9308,0,0,0
4,29,0.9315,0,0,0
5,0,0.7092,0,0,0
5,1,0.8427,0,0,0
5,2,0.8673,0,0,0
5,3,0.8802,0,0,0
5,4,0.8888,0,0,0
5,5,0.8963,0,0,0
5,6,0.9012,0,0,0
5,7,0.9048,0,0,0
5,8,0.9101,0,0,0
5,9,0.9117,0,0,0
5,10,0.9138,0,0,0
5,11,0.9166,0,0,0
5,12,0.9177,0,0,0
5,13,0.9211,0,0,0
5,14,0.9216,0,0,0
5,15,0.9230,0,0,0
