training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3317,0,0,0
0,1,0.5951,0,0,0
0,2,0.7000,0,0,0
0,3,0.7558,0,0,0
0,4,0.7843,0,0,0
0,5,0.8091,0,0,0
0,6,0.8244,0,0,0
0,7,0.8357,0,0,0
0,8,0.8459,0,0,0
0,9,0.8543,0,0,0
0,10,0.8591,0,0,0
0,11,0.8657,0,0,0
0,12,0.8724,0,0,0
0,13,0.8760,0,0,0
0,14,0.8786,0,0,0
0,15,0.8843,0,0,0
0,16,0.8851,0,0,0
0,17,0.8884,0,0,0
0,18,0.8919,0,0,0
0,19,0.8922,0,0,0
0,20,0.8956,0,0,0
0,21,0.8987,0,0,0
0,22,0.9003,0,0,0
0,23,0.9017,0,0,0
0,24,0.9043,0,0,0
0,25,0.9052,0,0,0
0,26,0.9061,0,0,0
0,27,0.9085,0,0,0
0,28,0.9085,0,0,0
0,29,0.9109,0,0,0
1,0,0.6945,0,0,0
1,1,0.8280,0,0,0
1,2,0.8520,0,0,0
1,3,0.8680,0,0,0
1,4,0.8757,0,0,0
1,5,0.8820,0,0,0
1,6,0.8879,0,0,0
1,7,0.8900,0,0,0
1,8,0.8948,0,0,0
1,9,0.8986,0,0,0
1,10,0.9019,0,0,0
1,11,0.9030,0,0,0
1,12,0.9059,0,0,0
1,13,0.9103,0,0,0
1,14,0.9097,0,0,0
1,15,0.9106,0,0,0
1,16,0.9131,0,0,0
1,17,0.9132,0,0,0
1,18,0.9150,0,0,0
1,19,0.9145,0,0,0
1,20,0.9184,0,0,0
1,21,0.9195,0,0,0
1,22,0.9197,0,0,0
1,23,0.9211,0,0,0
1,24,0.9222,0,0,0
1,25,0.9230,0,0,0
1,26,0.9256,0,0,0
1,27,0.9255,0,0,0
1,28,0.9261,0,0,0
1,29,0.9257,0,0,0
2,0,0.7197,0,0,0
2,1,0.8366,0,0,0
2,2,0.8633,0,0,0
2,3,0.8756,0,0,0
2,4,0.8835,0,0,0
2,5,0.8907,0,0,0
2,6,0.8955,0,0,0
2,7,0.8992,0,0,0
2,8,0.9031,0,0,0
2,9,0.9046,0,0,0
2,10,0.9087,0,0,0
2,11,0.9088,0,0,0
2,12,0.9122,0,0,0
2,13,0.9152,0,0,0
2,14,0.9162,0,0,0
2,15,0.9178,0,0,0
2,16,0.9177,0,0,0
2,17,0.9203,0,0,0
2,18,0.9203,0,0,0
2,19,0.9231,0,0,0
2,20,0.9238,0,0,0
2,21,0.9241,0,0,0
2,22,0.9251,0,0,0
2,23,0.9260,0,0,0
2,24,0.9262,0,0,0
2,25,0.9290,0,0,0
2,26,0.9289,0,0,0
2,27,0.9295,0,0,0
2,28,0.9280,0,0,0
2,29,0.9308,0,0,0
3,0,0.7171,0,0,0
3,1,0.8370,0,0,0
3,2,0.8635,0,0,0
3,3,0.8780,0,0,0
3,4,0.8876,0,0,0
3,5,0.8923,0,0,0
3,6,0.8982,0,0,0
3,7,0.9010,0,0,0
3,8,0.9049,0,0,0
3,9,0.9069,0,0,0
3,10,0.9102,0,0,0
3,11,0.9112,0,0,0
3,12,0.9132,0,0,0
3,13,0.9156,0,0,0
3,14,0.9180,0,0,0
3,15,0.9201,0,0,0
3,16,0.9204,0,0,0
3,17,0.9214,0,0,0
3,18,0.9233,0,0,0
3,19,0.9250,0,0,0
3,20,0.9267,0,0,0
3,21,0.9268,0,0,0
3,22,0.9274,0,0,0
3,23,0.9293,0,0,0
3,24,0.9297,0,0,0
3,25,0.9286,0,0,0
3,26,0.9303,0,0,0
3,27,0.9307,0,0,0
3,28,0.9314,0,0,0
3,29,0.9321,0,0,0
4,0,0.7134,0,0,0
4,1,0.8387,0,0,0
4,2,0.8632,0,0,0
4,3,0.8777,0,0,0
4,4,0.8852,0,0,0
4,5,0.8912,0,0,0
4,6,0.8980,0,0,0
4,7,0.9009,0,0,0
4,8,0.9066,0,0,0
4,9,0.9098,0,0,0
4,10,0.9131,0,0,0
4,11,0.9141,0,0,0
4,12,0.9153,0,0,0
4,13,0.9189,0,0,0
4,14,0.9182,0,0,0
4,15,0.9219,0,0,0
4,16,0.9216,0,0,0
4,17,0.9228,0,0,0
4,18,0.9251,0,0,0
4,19,0.9269,0,0,0
4,20,0.9269,0,0,0
