training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3258,0,0,0
0,1,0.5899,0,0,0
0,2,0.7043,0,0,0
0,3,0.7572,0,0,0
0,4,0.7876,0,0,0
0,5,0.8119,0,0,0
0,6,0.8281,0,0,0
0,7,0.8358,0,0,0
0,8,0.8454,0,0,0
0,9,0.8532,0,0,0
0,10,0.8605,0,0,0
0,11,0.8652,0,0,0
0,12,0.8696,0,0,0
0,13,0.8748,0,0,0
0,14,0.8790,0,0,0
0,15,0.8819,0,0,0
0,16,0.8857,0,0,0
0,17,0.8882,0,0,0
0,18,0.8899,0,0,0
0,19,0.8943,0,0,0
0,20,0.8952,0,0,0
0,21,0.8970,0,0,0
0,22,0.8988,0,0,0
0,23,0.9007,0,0,0
0,24,0.9028,0,0,0
0,25,0.9045,0,0,0
0,26,0.9048,0,0,0
0,27,0.9072,0,0,0
0,28,0.9080,0,0,0
0,29,0.9089,0,0,0
1,0,0.6855,0,0,0
1,1,0.8180,0,0,0
1,2,0.8452,0,0,0
1,3,0.8594,0,0,0
1,4,0.8696,0,0,0
1,5,0.8767,0,0,0
1,6,0.8836,0,0,0
1,7,0.8874,0,0,0
1,8,0.8922,0,0,0
1,9,0.8939,0,0,0
1,10,0.8973,0,0,0
1,11,0.9006,0,0,0
1,12,0.9024,0,0,0
1,13,0.9034,0,0,0
1,14,0.9061,0,0,0
1,15,0.9078,0,0,0
1,16,0.9100,0,0,0
1,17,0.9105,0,0,0
1,18,0.9126,0,0,0
1,19,0.9153,0,0,0
1,20,0.9157,0,0,0
1,21,0.9176,0,0,0
1,22,0.9169,0,0,0
1,23,0.9196,0,0,0
1,24,0.9183,0,0,0
1,25,0.9196,0,0,0
1,26,0.9217,0,0,0
1,27,0.9218,0,0,0
1,28,0.9224,0,0,0
1,29,0.9238,0,0,0
2,0,0.7130,0,0,0
2,1,0.8357,0,0,0
2,2,0.8620,0,0,0
2,3,0.8754,0,0,0
2,4,0.8840,0,0,0
2,5,0.8920,0,0,0
2,6,0.8960,0,0,0
2,7,0.9007,0,0,0
2,8,0.9031,0,0,0
2,9,0.9065,0,0,0
2,10,0.9077,0,0,0
2,11,0.9089,0,0,0
2,12,0.9121,0,0,0
2,13,0.9144,0,0,0
2,14,0.9155,0,0,0
2,15,0.9179,0,0,0
2,16,0.9178,0,0,0
2,17,0.9201,0,0,0
2,18,0.9216,0,0,0
2,19,0.9221,0,0,0
2,20,0.9245,0,0,0
2,21,0.9252,0,0,0
2,22,0.9239,0,0,0
2,23,0.9259,0,0,0
2,24,0.9282,0,0,0
2,25,0.9270,0,0,0
2,26,0.9293,0,0,0
2,27,0.9282,0,0,0
2,28,0.9303,0,0,0
2,29,0.9294,0,0,0
3,0,0.6641,0,0,0
3,1,0.8213,0,0,0
3,2,0.8513,0,0,0
3,3,0.8667,0,0,0
3,4,0.8754,0,0,0
3,5,0.8838,0,0,0
3,6,0.8887,0,0,0
3,7,0.8942,0,0,0
3,8,0.8981,0,0,0
3,9,0.9005,0,0,0
3,10,0.9042,0,0,0
3,11,0.9072,0,0,0
3,12,0.9092,0,0,0
3,13,0.9110,0,0,0
3,14,0.9115,0,0,0
3,15,0.9145,0,0,0
3,16,0.9156,0,0,0
3,17,0.9173,0,0,0
3,18,0.9203,0,0,0
3,19,0.9201,0,0,0
3,20,0.9209,0,0,0
3,21,0.9216,0,0,0
3,22,0.9234,0,0,0
3,23,0.9258,0,0,0
3,24,0.9249,0,0,0
3,25,0.9267,0,0,0
3,26,0.9260,0,0,0
3,27,0.9274,0,0,0
3,28,0.9294,0,0,0
3,29,0.9299,0,0,0
4,0,0.7204,0,0,0
4,1,0.8421,0,0,0
4,2,0.8679,0,0,0
4,3,0.8792,0,0,0
4,4,0.8870,0,0,0
4,5,0.8942,0,0,0
4,6,0.8972,0,0,0
4,7,0.9026,0,0,0
